name,title,male,culture,mother,father,heir,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,isACommander,inHouseOfWarLead,houseSworeAllegiance,inHouseOfAllegnc
Wun Weg Wun Dar Wun,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0501672240802675,1,0,0,0,0
Wylla,unknown,1,unknown,unknown,unknown,unknown,unknown,1,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0267558528428093,1,0,0,0,0
Wynafryd Manderly,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,1,-1.0,-1.0,-1.0,-1.0,0,0,25.0,0,0,0,0.0568561872909698,1,0,0,1,0
Xhondo,unknown,1,Summer Isles,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.020066889632107,1,0,0,0,0
Ygon Farwynd,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0100334448160535,1,0,0,1,0
Yna,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.020066889632107,1,0,0,0,0
Yohn Farwynd,unknown,1,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0100334448160535,1,0,0,1,0
Yorkel,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0,1,0,0,1,1
Yorko Terys,unknown,1,Braavosi,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0234113712374581,1,0,0,0,0
Yormwell,Maester,0,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Young Henly,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,0,59.0,0,0,0,0.0133779264214046,0,0,0,1,0
Ysilla,unknown,0,unknown,unknown,unknown,unknown,Yandry,0,0,0,0,1,-1.0,-1.0,-1.0,1.0,1,0,37.0,0,0,0,0.040133779264214,1,0,0,0,0
Zarabelo,Archmaester,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0066889632107023,1,0,0,0,0
Zei,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,1,0,0,0,0
Zekko,Khal,1,Dothraki,unknown,unknown,unknown,unknown,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,1,0,0,0,0
Zharaq zo Loraq,unknown,1,Ghiscari,unknown,unknown,unknown,unknown,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0100334448160535,1,0,0,0,0
Wenda,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,1,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0167224080267558,1,0,0,1,0
Wex Pyke,unknown,1,Ironborn,unknown,unknown,unknown,unknown,0,1,1,1,1,-1.0,-1.0,-1.0,-1.0,0,0,19.0,0,0,0,0.113712374581939,1,0,0,1,0
Timett,red hand,1,Vale mountain clans,unknown,unknown,unknown,unknown,1,1,1,0,1,-1.0,-1.0,-1.0,-1.0,0,1,27.0,0,0,0,0.0735785953177257,1,0,0,1,0
Joffrey Baratheon,unknown,1,unknown,Cersei Lannister,Robert Baratheon,Tommen Baratheon,unknown,0,0,0,0,0,1.0,1.0,1.0,-1.0,0,0,37.0,5,1,1,1.0,0,0,0,0,0
Laenor Velaryon,Ser,1,Valyrian,unknown,unknown,unknown,Rhaenyra Targaryen,0,0,0,0,0,-1.0,-1.0,-1.0,1.0,1,1,26.0,0,0,0,0.193979933110367,0,0,0,1,0
Leobald Tallhart,Castellan,1,Northmen,unknown,unknown,unknown,Berena Hornwood,0,1,1,1,1,-1.0,-1.0,-1.0,1.0,1,1,37.0,0,0,0,0.110367892976588,0,1,0,1,0
Maegor I Targaryen,unknown,1,unknown,Visenya Targaryen,Aegon I Targaryen,Jaehaerys Targaryen,unknown,0,0,0,0,0,0.0,0.0,1.0,-1.0,0,0,37.0,0,0,1,0.705685618729097,0,0,0,0,0
Margaery Tyrell,Seven Kingdoms,0,Reach,unknown,unknown,unknown,Renly Baratheon,1,1,1,1,1,-1.0,-1.0,-1.0,0.0,1,1,22.0,3,1,1,1.0,1,0,1,1,1
Naerys Targaryen,PrincessQueen,0,Valyrian,unknown,unknown,unknown,Aegon IV Targaryen,1,0,0,0,0,-1.0,-1.0,-1.0,0.0,1,1,100.0,12,1,0,0.220735785953177,0,0,0,1,1
Quence,unknown,0,Braavosi,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.020066889632107,1,0,0,0,0
Quellon Botley,unknown,1,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0468227424749163,1,0,0,1,0
Quellon Greyjoy,Lord of the Iron Islands,1,Ironborn,unknown,unknown,unknown,Stonetree,0,0,0,1,0,-1.0,-1.0,-1.0,1.0,1,1,37.0,0,0,0,0.0903010033444816,0,0,1,1,1
Quentyn Blackwood,Lord,0,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.020066889632107,0,0,1,1,0
Quenton Greyjoy,unknown,1,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.060200668896321,1,0,1,1,1
Quhuru Mo,unknown,1,Summer Isles,unknown,unknown,unknown,unknown,0,1,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.040133779264214,1,0,0,0,0
Quickfinger,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0100334448160535,1,0,0,0,0
Quill,unknown,1,Braavosi,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0167224080267558,1,0,0,0,0
Quentin Tyrell,Ser,0,unknown,unknown,unknown,unknown,unknown,0,0,1,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.127090301003344,1,0,1,1,1
Quort,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,0,14.0,0,0,0,0.0100334448160535,0,0,0,1,0
Qyle,unknown,1,unknown,unknown,unknown,unknown,unknown,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,0,0,0,0,0
Rafe,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0066889632107023,1,0,0,0,0
Racallio Ryndoon,unknown,1,Tyroshi,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0100334448160535,1,0,0,0,0
Ragnor Pyke,unknown,0,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0100334448160535,1,0,1,1,1
Rainbow Knight,unknown,0,unknown,unknown,unknown,unknown,unknown,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Randa,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Rast,unknown,1,unknown,unknown,unknown,unknown,unknown,1,1,1,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0668896321070234,0,0,0,1,0
Rawney,Brother,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0100334448160535,1,0,0,0,0
Raymar Royce,Lord,1,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0133779264214046,1,0,0,1,0
Raymond Nayland,Ser,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0167224080267558,1,0,0,0,0
Raymund Tyrell,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,1,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.127090301003344,1,0,1,1,1
Red Oarsman,unknown,0,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0167224080267558,1,0,0,0,0
Red Lamb,Ser,1,Lhazarene,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0,1,0,0,1,1
Redtusk,Ser,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0167224080267558,1,0,0,0,0
Red Rolfe,unknown,1,unknown,unknown,unknown,unknown,unknown,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,0,0,1,1,1
Redwyn,unknown,0,unknown,unknown,unknown,unknown,unknown,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0066889632107023,1,0,0,1,0
Reynard Webber,Lord of Coldmoat,0,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0066889632107023,1,0,0,0,0
Reysen,unknown,1,unknown,unknown,unknown,unknown,unknown,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0234113712374581,1,0,0,0,0
Rhaegel Targaryen,Prince of Dragonstone,1,Valyrian,unknown,unknown,unknown,Alys Arryn,0,0,0,0,0,-1.0,-1.0,-1.0,1.0,1,1,42.0,3,1,0,0.0969899665551839,0,0,0,1,1
Rhaena Targaryen (daughter of Daemon),Lady,0,unknown,unknown,unknown,unknown,Corwyn Corbray,0,0,0,0,0,-1.0,-1.0,-1.0,1.0,1,1,100.0,0,0,0,0.1438127090301,0,0,0,1,1
Rhaena Targaryen (daughter of Aegon III),PrincessSepta,0,Valyrian,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,100.0,0,0,0,0.0735785953177257,0,0,0,1,1
Rhaenys Targaryen,Queen,0,Valyrian,unknown,unknown,unknown,Aegon I Targaryen,1,0,0,0,0,-1.0,-1.0,-1.0,0.0,1,1,35.0,1,1,0,0.277591973244147,0,0,0,1,1
Rhaenys Targaryen (daughter of Rhaegar),Princess,0,unknown,unknown,unknown,unknown,unknown,1,1,1,1,1,-1.0,-1.0,-1.0,-1.0,0,1,3.0,10,1,0,0.244147157190635,0,0,0,1,1
Rhialta Vance,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0167224080267558,1,0,0,1,0
Rhaenys Targaryen (daughter of Aemon),Princess,0,Valyrian,unknown,unknown,unknown,Corlys Velaryon,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,1,1,55.0,0,0,0,0.1438127090301,0,0,0,1,1
Rhonda Rowan,unknown,0,unknown,unknown,unknown,unknown,Baelor Hightower,0,0,0,1,0,-1.0,-1.0,-1.0,1.0,1,0,37.0,0,0,0,0.0501672240802675,1,0,0,1,0
Richard Farrow,Ser,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0167224080267558,0,0,0,0,0
Richard Lonmouth,Ser,1,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0234113712374581,1,0,0,0,0
Rigney,Archmaester,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Rob,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Rickard Tyrell,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,1,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.123745819397993,1,0,1,1,1
Robb Reyne,Ser,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0066889632107023,1,0,0,0,0
Robert Ashford,Ser,1,Reach,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0234113712374581,1,0,0,0,0
Robert Brax (son of Flement),unknown,1,unknown,unknown,unknown,unknown,unknown,0,1,1,1,0,-1.0,-1.0,-1.0,-1.0,0,0,15.0,0,0,0,0.120401337792642,1,0,0,1,0
Robert Paege,Ser,0,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0100334448160535,1,0,0,1,0
Robb Stark,unknown,1,unknown,Catelyn Stark,Eddard Stark,Bran Stark,unknown,0,0,0,0,0,0.0,0.0,1.0,-1.0,0,0,37.0,7,1,1,1.0,0,1,0,0,0
Robin,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0167224080267558,1,0,0,0,0
Robert Frey (son of Raymund),unknown,1,unknown,unknown,unknown,unknown,unknown,0,1,1,1,0,-1.0,-1.0,-1.0,-1.0,0,0,22.0,0,0,0,0.147157190635451,1,0,1,1,0
Robin Greyjoy,unknown,1,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0635451505016722,1,0,1,1,1
Robin Hollard,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0267558528428093,1,0,0,0,0
Rodrik Freeborn,unknown,1,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,1,0,0,0,0
Roelle,Septa,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0,1,0,0,1,0
Rodrik Stark (son of Beron),unknown,1,Northmen,unknown,unknown,unknown,Arya Flint,0,0,0,0,1,-1.0,-1.0,-1.0,1.0,1,0,37.0,0,0,0,0.100334448160535,1,0,1,1,1
Roger of Pennytree,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0301003344481605,0,0,0,0,0
Roggo,unknown,0,Braavosi,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,1,0,0,0,0
Roger Ryswell,unknown,1,Northmen,unknown,unknown,unknown,unknown,0,0,0,1,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0468227424749163,1,0,0,1,0
Rolder,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0,1,0,1,1,1
Roland Crakehall (Kingsguard),Ser,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.020066889632107,1,0,0,1,0
Rolfe,unknown,1,unknown,unknown,unknown,unknown,unknown,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Rolland Darklyn,Ser,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0100334448160535,1,0,0,0,0
Rollam Westerling,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,1,1,0,-1.0,-1.0,-1.0,-1.0,0,0,15.0,0,0,0,0.0434782608695652,1,0,0,1,0
Romny Weaver,unknown,1,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.020066889632107,1,0,0,1,0
Ronald Storm,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.040133779264214,1,0,0,1,0
Ronnel Stout,unknown,0,Northmen,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0334448160535117,1,0,0,1,0
Ronnel Harclay,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,1,0,0,1,0
Roone,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,19.0,0,0,0,0.040133779264214,1,0,0,0,0
Roone (maester),Maester,1,unknown,unknown,unknown,unknown,unknown,0,0,1,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0100334448160535,1,0,0,0,0
Roryn Drumm,unknown,0,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0033444816053511,1,0,0,1,0
Roose Ryswell,unknown,1,Northmen,unknown,unknown,unknown,unknown,0,0,0,1,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0301003344481605,1,0,0,1,0
Rosamund Lannister,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0234113712374581,1,0,0,0,0
Rosey,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,21.0,0,0,0,0.0301003344481605,1,0,0,0,0
Rowan,unknown,1,Free folk,unknown,unknown,unknown,unknown,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.060200668896321,0,0,0,0,0
Rudge,unknown,0,unknown,unknown,unknown,unknown,unknown,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0,1,0,0,1,0
Runciter,Grand Maester,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.244147157190635,0,0,0,0,0
Rupert Crabb,Ser,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0066889632107023,1,0,0,0,0
Rus,unknown,0,Ironmen,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0100334448160535,1,0,0,1,0
Rusty Flowers,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0,1,0,0,1,0
Ryam,Archmaester,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0133779264214046,1,0,0,0,0
Ryk,unknown,1,Free folk,unknown,unknown,unknown,Munda,0,0,1,1,1,-1.0,-1.0,-1.0,1.0,1,0,37.0,0,0,0,0.0267558528428093,1,0,0,0,0
Ryles,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,0,0,0,1,0
Rymolf,unknown,0,Ironborn,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0,1,0,1,1,1
S'vrone,unknown,0,Braavosi,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,1,0,0,0,0
